TaskID,TaskType,MachineID,MachineType,MachineAgeYears,OperatorID,OperatorSkillLevel,OperatorExperienceYears,WeatherCondition,AmbientTemperatureC,HumidityPercent,WindSpeedKph,SiteTerrainType,MaterialType,LoadVolumeM3,DistanceCoveredM,TimeOfDay,ShiftHoursElapsed,NumberOfBreaks,PriorTaskDelayMin,IdlingDuringTaskMin,FuelConsumedDuringTaskL,EstimatedTimeMin,ActualTimeMin,SafetyIncidentDuringTask
T00027,Grading,EXC001,Excavator,7,OP003,Beginner,2,Foggy,3.00,50.02,15.53,Rocky,Soil,57.93,391.28,Afternoon,5.58,2,10.96,15.42,4.41,48.30,79.88,No
T00028,Trenching,GRD002,Grader,6,OP017,Intermediate,6,Cloudy,3.54,45.79,1.76,Hilly,Concrete,47.74,448.48,Afternoon,7.51,0,13.52,6.92,3.85,54.34,69.59,No
T00029,Lifting,CRN002,Crane,6,OP013,Intermediate,3,Sunny,33.32,55.06,12.89,Hilly,Rock,44.59,52.55,Afternoon,9.24,3,8.90,7.39,4.58,46.00,63.14,No
T00030,Earth Excavation,BLD002,Bulldozer,5,OP003,Beginner,2,Foggy,10.34,56.01,9.44,Rocky,Soil,33.15,446.66,Afternoon,9.12,0,9.16,16.72,7.30,82.80,128.22,No
T00031,Digging,GRD001,Grader,6,OP014,Beginner,2,Windy,27.46,31.36,38.22,Rocky,Debris,32.76,76.84,Morning,9.68,1,19.50,9.78,5.75,63.25,101.14,Yes
T00032,Digging,BLD001,Bulldozer,2,OP011,Intermediate,3,Cloudy,20.97,68.39,6.01,Hilly,Debris,7.07,327.50,Afternoon,2.86,0,8.27,0.67,3.77,60.37,63.99,No
T00033,Trenching,BLD003,Bulldozer,5,OP010,Beginner,0,Foggy,21.92,47.06,8.25,Flat,Debris,27.80,372.03,Evening,6.79,2,0.00,10.54,4.63,54.00,84.41,No
T00034,Trenching,LDR003,Loader,8,OP018,Intermediate,4,Foggy,23.18,52.42,11.12,Rocky,Debris,35.89,170.99,Afternoon,8.85,1,19.06,9.95,5.39,62.10,86.05,No
T00035,Earth Excavation,BLD002,Bulldozer,5,OP018,Intermediate,4,Foggy,12.91,52.73,7.15,Flat,Sand,34.39,146.91,Afternoon,7.01,2,0.91,3.44,5.17,72.00,88.14,No
T00036,Trenching,EXC003,Excavator,5,OP002,Expert,10,Cloudy,18.16,58.49,13.02,Sandy,Concrete,42.44,263.98,Morning,3.35,2,1.47,10.66,3.11,51.98,52.48,No
T00037,Trenching,GRD002,Grader,6,OP015,Expert,9,Rainy,21.12,61.49,15.21,Sandy,Soil,59.42,219.70,Afternoon,5.21,2,12.92,3.54,3.80,56.92,61.25,No
T00038,Compacting,BLD001,Bulldozer,2,OP010,Beginner,0,Sunny,18.46,63.27,9.61,Rocky,Debris,38.84,223.96,Morning,2.20,1,7.51,16.09,3.99,63.25,81.98,Yes
T00039,Grading,LDR003,Loader,8,OP004,Beginner,1,Sunny,25.68,52.84,21.45,Hilly,Soil,56.02,320.43,Evening,4.88,0,7.76,12.04,4.21,40.25,64.35,No
T00040,Material Loading,GRD001,Grader,6,OP001,Beginner,0,Sunny,22.40,43.24,15.61,Muddy,Concrete,24.00,410.31,Morning,7.41,0,4.19,11.75,3.83,36.00,59.88,No
T00041,Demolition,LDR001,Loader,1,OP018,Intermediate,4,Cloudy,14.68,39.64,4.63,Flat,Concrete,27.59,363.70,Afternoon,5.02,3,14.34,7.71,5.08,94.50,100.64,No
T00042,Compacting,GRD002,Grader,6,OP013,Intermediate,3,Sunny,29.11,37.70,0.00,Muddy,Debris,33.75,389.79,Morning,9.36,0,10.97,1.60,5.38,66.00,89.79,No
T00043,Digging,DMP002,DumpTruck,5,OP004,Beginner,1,Windy,12.49,57.88,29.79,Rocky,Soil,14.48,216.46,Evening,2.36,0,1.71,12.22,5.83,63.25,99.65,No
T00044,Digging,EXC003,Excavator,5,OP018,Intermediate,4,Sunny,19.62,46.09,16.30,Rocky,Concrete,25.96,439.32,Afternoon,7.56,3,3.74,5.53,4.33,57.50,71.70,No
T00045,Material Loading,EXC003,Excavator,5,OP009,Beginner,2,Foggy,16.73,56.63,13.02,Rocky,Sand,27.65,496.64,Night,6.42,2,4.80,12.44,3.89,41.40,67.20,No
T00046,Compacting,BLD001,Bulldozer,2,OP009,Beginner,2,Sunny,17.29,58.64,9.04,Muddy,Sand,49.84,40.02,Evening,2.30,1,6.33,12.81,4.05,66.00,84.08,No
T00047,Lifting,CRN001,Crane,3,OP018,Intermediate,4,Cloudy,14.99,67.72,4.84,Rocky,Debris,49.79,173.60,Night,5.11,1,3.47,3.04,2.54,48.30,44.90,No
T00048,Trenching,DMP002,DumpTruck,5,OP018,Intermediate,4,Cloudy,17.70,58.40,4.04,Muddy,Sand,28.12,274.56,Afternoon,3.53,1,2.25,5.82,4.36,56.70,69.24,No
T00049,Material Loading,GRD002,Grader,6,OP019,Intermediate,6,Sunny,12.83,58.03,9.13,Hilly,Soil,44.55,227.91,Afternoon,9.86,2,3.67,0.00,3.35,34.50,57.66,No
T00050,Material Loading,EXC001,Excavator,7,OP001,Beginner,0,Rainy,6.08,93.90,17.51,Sandy,Concrete,12.87,322.29,Night,1.94,3,13.68,7.82,3.25,37.95,54.48,No
T00051,Demolition,DMP001,DumpTruck,6,OP014,Beginner,2,Rainy,19.45,93.93,9.75,Flat,Concrete,18.89,248.68,Evening,5.91,3,3.14,16.82,8.73,103.50,149.91,Yes
T00052,Earth Excavation,DMP001,DumpTruck,6,OP005,Intermediate,3,Rainy,11.44,86.78,6.38,Flat,Soil,34.71,255.10,Night,9.72,0,0.00,1.68,6.12,69.00,102.02,No
T00053,Material Loading,DMP001,DumpTruck,6,OP019,Intermediate,6,Rainy,15.28,57.70,7.35,Sandy,Sand,15.62,290.11,Evening,1.75,1,0.00,6.48,2.74,37.95,43.04,No
T00054,Demolition,GRD001,Grader,6,OP001,Beginner,0,Windy,16.22,45.35,29.99,Hilly,Rock,8.98,430.68,Morning,4.77,2,6.23,6.35,11.34,113.85,181.17,No
T00055,Material Loading,DMP002,DumpTruck,5,OP008,Beginner,0,Sunny,34.43,41.11,18.08,Rocky,Debris,27.84,194.56,Afternoon,9.80,2,8.04,11.46,3.65,34.50,61.63,No
T00056,Trenching,LDR002,Loader,4,OP005,Intermediate,3,Cloudy,36.20,59.52,14.82,Muddy,Soil,56.49,294.00,Night,3.26,1,3.50,1.38,3.39,56.70,65.80,No
T00057,Trenching,GRD002,Grader,6,OP015,Expert,9,Cloudy,23.87,53.51,14.48,Sandy,Rock,27.54,89.42,Afternoon,1.80,1,0.09,3.77,2.73,51.98,50.17,No
T00058,Compacting,GRD001,Grader,6,OP013,Intermediate,3,Cloudy,23.76,45.44,9.05,Sandy,Sand,9.95,139.72,Morning,2.11,0,0.00,8.98,5.42,63.53,81.87,No
T00059,Demolition,EXC002,Excavator,2,OP020,Intermediate,6,Cloudy,15.93,44.17,18.35,Sandy,Soil,42.12,45.85,Morning,1.70,2,8.22,9.00,5.17,103.95,101.35,No
T00060,Compacting,CRN002,Crane,6,OP019,Intermediate,6,Cloudy,31.49,68.00,4.06,Hilly,Sand,35.95,406.15,Evening,5.13,3,13.05,3.68,4.50,66.41,78.76,No
T00061,Demolition,LDR002,Loader,4,OP015,Expert,9,Sunny,27.51,56.38,13.58,Hilly,Rock,42.75,98.86,Afternoon,8.77,2,3.96,7.20,6.21,103.50,109.83,No
T00062,Lifting,LDR003,Loader,8,OP017,Intermediate,6,Foggy,19.10,39.99,4.93,Flat,Sand,42.48,92.69,Night,7.77,0,0.00,0.00,4.10,48.00,64.07,No
T00063,Material Loading,LDR003,Loader,8,OP016,Expert,10,Windy,19.91,53.55,32.04,Flat,Sand,39.38,269.30,Night,7.11,3,11.48,12.17,2.85,33.00,41.07,No
T00064,Trenching,CRN001,Crane,3,OP007,Intermediate,3,Windy,14.67,60.93,31.98,Sandy,Sand,33.87,215.76,Afternoon,7.85,1,2.45,5.73,4.28,54.45,75.23,No
T00065,Trenching,DMP002,DumpTruck,5,OP014,Beginner,2,Sunny,26.45,37.20,1.54,Rocky,Sand,59.82,84.49,Evening,1.50,3,1.38,10.82,4.25,51.75,73.23,No
T00066,Material Loading,BLD001,Bulldozer,2,OP008,Beginner,0,Rainy,17.68,100.00,13.23,Sandy,Sand,58.21,42.71,Morning,8.36,1,5.24,15.56,3.39,37.95,61.62,No
T00067,Lifting,GRD002,Grader,6,OP006,Intermediate,6,Sunny,25.86,44.82,15.84,Flat,Sand,45.13,390.06,Night,1.70,0,0.00,1.98,2.75,40.00,53.02,No
T00068,Digging,BLD003,Bulldozer,5,OP006,Intermediate,6,Snowy,-1.86,38.21,11.41,Rocky,Rock,37.99,110.48,Night,2.58,1,7.76,9.94,4.81,74.75,89.52,No
T00069,Compacting,GRD002,Grader,6,OP009,Beginner,2,Sunny,19.60,31.32,5.95,Muddy,Sand,52.66,309.99,Evening,9.30,0,9.43,9.48,6.94,66.00,107.82,No
T00070,Digging,BLD002,Bulldozer,5,OP012,Beginner,2,Cloudy,14.85,52.62,7.99,Flat,Soil,14.32,132.65,Evening,7.60,0,0.75,19.39,4.24,52.50,83.12,No
T00071,Material Loading,BLD002,Bulldozer,5,OP010,Beginner,0,Sunny,21.84,39.62,19.50,Muddy,Concrete,26.76,192.21,Morning,5.57,2,8.00,6.20,3.61,36.00,57.97,Yes
T00072,Earth Excavation,GRD002,Grader,6,OP012,Beginner,2,Cloudy,13.60,38.50,14.78,Hilly,Concrete,27.30,106.45,Night,7.68,0,0.00,18.78,7.26,72.45,115.96,No
T00073,Grading,EXC002,Excavator,2,OP002,Expert,10,Sunny,22.71,57.31,5.19,Rocky,Debris,13.66,334.77,Night,3.82,2,7.54,5.25,2.47,40.25,41.40,No
T00074,Digging,EXC002,Excavator,2,OP002,Expert,10,Cloudy,15.90,46.96,9.89,Muddy,Sand,50.66,373.12,Afternoon,8.42,0,3.15,3.44,3.14,63.00,64.66,No
T00075,Digging,LDR002,Loader,4,OP006,Intermediate,6,Foggy,15.46,48.03,20.00,Muddy,Concrete,58.34,85.75,Night,9.68,3,5.48,4.58,5.70,72.00,97.56,No
T00076,Demolition,EXC002,Excavator,2,OP018,Intermediate,4,Cloudy,32.16,61.66,7.00,Hilly,Debris,11.62,475.04,Night,6.19,3,0.00,0.00,6.74,108.67,119.20,No
T00077,Trenching,LDR001,Loader,1,OP009,Beginner,2,Sunny,27.21,58.79,8.65,Rocky,Rock,14.22,178.08,Evening,8.01,0,3.83,12.96,4.11,51.75,75.02,Yes
T00078,Grading,GRD001,Grader,6,OP012,Beginner,2,Sunny,15.98,60.54,4.66,Flat,Concrete,19.37,447.20,Night,5.18,1,0.00,20.38,3.72,35.00,58.19,No
T00079,Earth Excavation,LDR001,Loader,1,OP010,Beginner,0,Snowy,7.03,50.17,0.00,Rocky,Concrete,8.46,297.06,Night,9.20,2,4.49,15.11,6.53,89.70,122.23,No
T00080,Trenching,LDR003,Loader,8,OP010,Beginner,0,Rainy,20.01,80.04,8.19,Sandy,Soil,17.82,455.56,Morning,8.49,3,0.00,11.74,6.20,56.92,97.87,No
T00081,Material Loading,BLD001,Bulldozer,2,OP012,Beginner,2,Windy,25.25,41.92,46.20,Muddy,Sand,45.09,270.27,Evening,4.70,0,0.00,13.84,3.29,39.60,53.33,No
T00082,Lifting,GRD001,Grader,6,OP020,Intermediate,6,Rainy,6.95,69.22,7.98,Sandy,Debris,9.29,475.39,Evening,1.55,0,4.83,6.20,3.83,50.60,57.37,No
T00083,Digging,EXC001,Excavator,7,OP010,Beginner,0,Rainy,13.36,78.19,14.04,Rocky,Concrete,15.98,355.85,Afternoon,6.53,1,0.00,18.28,6.33,66.12,103.76,No
T00084,Trenching,EXC001,Excavator,7,OP002,Expert,10,Windy,20.67,48.19,34.48,Flat,Sand,22.96,289.22,Night,4.31,2,9.97,2.73,3.53,49.50,50.04,No
T00085,Trenching,BLD002,Bulldozer,5,OP011,Intermediate,3,Rainy,24.42,86.59,15.11,Hilly,Concrete,16.45,355.11,Night,9.82,3,11.85,9.65,4.21,59.51,81.28,Yes
T00086,Trenching,LDR002,Loader,4,OP018,Intermediate,4,Cloudy,21.00,49.19,12.19,Rocky,Sand,23.16,411.72,Morning,3.06,2,3.01,2.74,3.82,54.34,66.78,Yes
T00087,Earth Excavation,LDR003,Loader,8,OP004,Beginner,1,Foggy,21.28,42.29,18.28,Rocky,Sand,39.85,95.76,Morning,3.63,0,2.44,8.74,7.29,82.80,122.51,No
T00088,Digging,EXC001,Excavator,7,OP005,Intermediate,3,Sunny,20.33,37.69,4.57,Rocky,Sand,50.33,435.26,Morning,3.42,0,9.58,1.27,4.39,57.50,69.91,No
T00089,Demolition,EXC001,Excavator,7,OP012,Beginner,2,Rainy,20.59,83.83,15.00,Hilly,Rock,48.59,199.80,Evening,6.30,1,6.54,11.08,11.33,119.02,181.99,Yes
T00090,Material Loading,GRD002,Grader,6,OP004,Beginner,1,Sunny,22.78,51.76,9.73,Muddy,Sand,35.37,259.35,Night,1.68,0,0.27,8.10,3.52,36.00,53.98,No
T00091,Earth Excavation,DMP002,DumpTruck,5,OP018,Intermediate,4,Windy,19.11,66.85,27.23,Flat,Rock,55.21,313.56,Night,3.60,0,2.14,5.48,4.49,66.00,78.72,No
T00092,Material Loading,DMP002,DumpTruck,5,OP015,Expert,9,Sunny,16.25,65.27,17.90,Flat,Rock,24.58,70.48,Afternoon,4.63,0,17.30,2.16,2.60,30.00,38.49,No
T00093,Material Loading,LDR002,Loader,4,OP015,Expert,9,Cloudy,19.68,52.08,18.33,Flat,Soil,22.79,108.42,Morning,5.09,0,10.56,0.00,2.47,31.50,41.49,No
T00094,Demolition,BLD002,Bulldozer,5,OP020,Intermediate,6,Sunny,23.11,48.65,9.07,Rocky,Rock,41.71,367.08,Night,9.69,0,13.63,9.13,7.64,103.50,129.62,No
T00095,Grading,LDR001,Loader,1,OP014,Beginner,2,Sunny,17.74,43.81,17.08,Muddy,Concrete,7.62,114.48,Morning,1.27,3,2.12,4.08,2.76,42.00,54.77,No
T00096,Trenching,BLD003,Bulldozer,5,OP019,Intermediate,6,Sunny,22.46,48.50,15.53,Flat,Sand,36.26,178.06,Night,1.39,1,5.32,0.23,2.71,45.00,47.42,No
T00097,Trenching,BLD003,Bulldozer,5,OP007,Intermediate,3,Sunny,37.99,66.82,10.25,Sandy,Soil,28.63,61.78,Morning,2.58,0,5.71,6.41,3.76,49.50,60.57,No
T00098,Demolition,EXC003,Excavator,5,OP007,Intermediate,3,Rainy,17.03,70.27,8.48,Sandy,Concrete,27.97,327.21,Afternoon,4.87,0,12.23,2.02,7.13,113.85,117.60,No
T00099,Earth Excavation,EXC002,Excavator,2,OP009,Beginner,2,Sunny,27.37,52.74,5.74,Sandy,Debris,29.10,350.16,Evening,6.87,1,7.67,16.27,5.15,66.00,96.07,No
T00100,Demolition,BLD001,Bulldozer,2,OP005,Intermediate,3,Cloudy,15.96,66.66,6.18,Sandy,Soil,8.35,251.07,Afternoon,8.70,1,7.40,0.81,6.69,103.95,119.99,No
T00101,Demolition,CRN001,Crane,3,OP006,Intermediate,6,Sunny,27.26,55.28,5.69,Sandy,Concrete,24.22,251.22,Morning,1.16,2,3.51,5.00,6.30,99.00,115.60,No
T00102,Demolition,LDR001,Loader,1,OP019,Intermediate,6,Rainy,19.53,70.79,5.53,Hilly,Soil,8.02,396.22,Afternoon,7.50,2,0.04,3.67,7.17,119.02,129.46,Yes
T00103,Compacting,DMP002,DumpTruck,5,OP001,Beginner,0,Foggy,14.54,52.57,17.16,Sandy,Rock,26.58,336.96,Evening,6.06,3,0.00,10.58,6.97,72.60,110.50,No
T00104,Grading,CRN001,Crane,3,OP017,Intermediate,6,Rainy,19.40,90.15,14.56,Hilly,Debris,29.14,109.02,Afternoon,9.82,2,5.26,4.50,3.30,46.29,64.40,No
T00105,Compacting,EXC003,Excavator,5,OP019,Intermediate,6,Sunny,27.79,54.56,8.04,Flat,Rock,59.22,209.71,Afternoon,5.94,1,14.54,11.18,4.32,55.00,70.90,No
T00106,Compacting,BLD003,Bulldozer,5,OP006,Intermediate,6,Windy,27.05,64.75,41.28,Flat,Rock,23.66,279.05,Afternoon,2.05,1,3.40,11.08,4.57,60.50,73.52,No
T00107,Digging,EXC001,Excavator,7,OP008,Beginner,0,Sunny,17.85,67.89,10.46,Hilly,Soil,55.72,30.92,Night,0.52,3,0.00,7.28,4.97,57.50,81.39,Yes
T00108,Digging,DMP002,DumpTruck,5,OP003,Beginner,2,Cloudy,14.30,58.74,13.54,Rocky,Sand,27.02,418.57,Morning,0.03,2,7.54,12.85,4.74,60.37,82.98,Yes
T00109,Trenching,LDR002,Loader,4,OP011,Intermediate,3,Sunny,18.33,62.75,0.00,Muddy,Rock,6.16,181.29,Evening,4.71,3,11.62,7.76,3.74,54.00,65.87,No
T00110,Earth Excavation,GRD001,Grader,6,OP009,Beginner,2,Windy,19.82,39.86,31.65,Hilly,Rock,40.73,90.87,Evening,4.52,0,6.68,9.49,6.43,75.90,112.25,No
T00111,Earth Excavation,EXC003,Excavator,5,OP001,Beginner,0,Cloudy,16.55,76.35,0.00,Muddy,Rock,32.76,257.03,Evening,2.64,3,0.00,12.98,5.58,75.60,107.37,No
T00112,Trenching,LDR002,Loader,4,OP017,Intermediate,6,Cloudy,24.35,58.02,1.95,Sandy,Sand,17.58,413.93,Night,4.59,3,2.31,2.07,3.65,51.98,57.88,No
T00113,Trenching,BLD002,Bulldozer,5,OP014,Beginner,2,Cloudy,27.54,45.00,2.52,Rocky,Sand,32.42,22.91,Night,3.37,1,21.33,9.77,4.54,54.34,77.94,No
T00114,Lifting,DMP001,DumpTruck,6,OP008,Beginner,0,Sunny,25.95,38.61,15.37,Rocky,Debris,54.13,428.33,Evening,5.23,2,1.34,12.96,4.34,46.00,68.05,No
T00115,Demolition,CRN001,Crane,3,OP009,Beginner,2,Rainy,24.71,60.05,12.30,Hilly,Rock,24.14,376.31,Night,0.18,0,0.00,9.99,9.23,119.02,172.46,No
T00116,Lifting,BLD001,Bulldozer,2,OP019,Intermediate,6,Sunny,25.79,72.31,4.78,Sandy,Rock,30.59,342.24,Night,3.69,3,0.00,3.30,2.79,44.00,53.32,No
T00117,Digging,LDR003,Loader,8,OP008,Beginner,0,Windy,20.08,54.96,36.86,Rocky,Concrete,14.49,78.17,Morning,7.11,2,8.16,10.55,6.40,63.25,112.42,Yes
T00118,Digging,LDR002,Loader,4,OP001,Beginner,0,Sunny,15.45,49.50,9.11,Rocky,Rock,6.05,366.96,Morning,0.79,2,0.00,8.17,4.26,57.50,81.15,No
T00119,Compacting,CRN002,Crane,6,OP004,Beginner,1,Snowy,2.76,42.36,8.19,Hilly,Sand,35.42,367.04,Afternoon,6.29,2,0.09,10.18,7.54,82.22,127.16,No
T00120,Digging,DMP002,DumpTruck,5,OP018,Intermediate,4,Sunny,19.97,51.72,11.21,Sandy,Concrete,5.22,140.80,Morning,3.57,3,9.28,2.45,3.25,55.00,63.46,No
T00121,Lifting,EXC001,Excavator,7,OP006,Intermediate,6,Cloudy,24.34,58.23,12.33,Hilly,Debris,39.78,226.29,Afternoon,7.04,2,0.00,0.30,4.29,48.30,64.62,Yes
T00122,Compacting,EXC003,Excavator,5,OP016,Expert,10,Sunny,21.05,56.69,13.42,Sandy,Debris,9.68,356.66,Afternoon,3.89,2,6.86,6.96,4.20,60.50,60.32,No
T00123,Grading,GRD002,Grader,6,OP014,Beginner,2,Cloudy,10.86,53.64,1.65,Flat,Rock,35.62,278.36,Evening,8.00,0,1.75,14.44,3.54,36.75,64.08,No
T00124,Material Loading,LDR001,Loader,1,OP007,Intermediate,3,Cloudy,24.27,37.65,5.53,Hilly,Soil,59.58,232.48,Evening,9.79,3,0.00,0.00,2.82,36.22,51.46,No
T00125,Trenching,CRN001,Crane,3,OP020,Intermediate,6,Sunny,22.52,40.95,14.52,Flat,Rock,24.86,189.43,Morning,0.57,0,0.20,0.91,3.28,45.00,46.01,No
T00126,Trenching,LDR002,Loader,4,OP016,Expert,10,Windy,13.33,44.81,39.92,Hilly,Soil,22.60,230.83,Morning,0.66,1,7.63,11.18,3.66,56.93,53.46,No
T00127,Digging,LDR003,Loader,8,OP003,Beginner,2,Sunny,22.68,60.70,16.58,Muddy,Rock,28.92,348.88,Evening,6.50,2,7.35,15.93,5.71,60.00,98.18,No
T00128,Material Loading,EXC003,Excavator,5,OP013,Intermediate,3,Sunny,29.18,33.83,10.74,Hilly,Concrete,18.05,291.92,Afternoon,4.26,3,0.00,1.67,2.19,34.50,47.31,No
T00129,Digging,BLD002,Bulldozer,5,OP009,Beginner,2,Sunny,30.56,78.39,16.11,Rocky,Concrete,42.01,445.80,Night,6.80,2,3.60,10.48,4.40,57.50,87.36,No
T00130,Grading,CRN001,Crane,3,OP020,Intermediate,6,Windy,15.29,48.58,44.07,Flat,Concrete,34.89,305.60,Morning,0.22,0,0.00,8.43,1.99,38.50,36.33,No
T00131,Compacting,DMP002,DumpTruck,5,OP008,Beginner,0,Sunny,10.73,25.07,1.28,Rocky,Sand,13.19,493.75,Evening,0.89,1,0.00,7.11,5.31,63.25,87.19,No
T00132,Compacting,LDR002,Loader,4,OP019,Intermediate,6,Sunny,16.40,19.20,15.93,Sandy,Rock,43.74,487.46,Afternoon,3.57,3,1.09,4.91,4.08,60.50,67.32,No
T00133,Digging,EXC003,Excavator,5,OP010,Beginner,0,Cloudy,19.77,45.59,0.00,Rocky,Soil,22.65,396.33,Night,5.22,2,9.61,12.05,5.32,60.37,86.25,No
T00134,Material Loading,EXC002,Excavator,2,OP006,Intermediate,6,Sunny,26.37,51.64,13.19,Rocky,Debris,30.84,317.16,Morning,7.89,0,9.39,0.79,2.67,34.50,48.68,No
T00135,Earth Excavation,EXC002,Excavator,2,OP006,Intermediate,6,Cloudy,21.52,50.99,12.25,Flat,Soil,27.82,38.50,Morning,8.19,1,8.78,0.00,4.39,63.00,79.21,No
T00136,Material Loading,DMP002,DumpTruck,5,OP009,Beginner,2,Cloudy,22.94,51.80,13.53,Sandy,Soil,34.97,395.03,Morning,9.01,0,12.68,11.76,3.19,34.65,60.00,No
